"Date","Price","Open","High","Low","Change %"
"Jun 17, 2020","3.9706","3.9472","3.9876","3.9358","0.56%"
"Jun 16, 2020","3.9483","3.9011","3.9646","3.8879","1.21%"
"Jun 15, 2020","3.9011","3.9483","3.9748","3.8989","-1.19%"
"Jun 12, 2020","3.9479","3.9590","3.9773","3.9212","-0.34%"
"Jun 11, 2020","3.9615","3.9166","3.9669","3.9048","1.24%"
"Jun 10, 2020","3.9129","3.9188","3.9378","3.8915","-0.15%"
"Jun 09, 2020","3.9188","3.9157","3.9558","3.9076","0.08%"
"Jun 08, 2020","3.9157","3.9290","3.9458","3.9095","-0.33%"
"Jun 05, 2020","3.9286","3.9138","3.9402","3.8900","0.38%"
"Jun 04, 2020","3.9137","3.9253","3.9799","3.8877","-0.30%"
"Jun 03, 2020","3.9254","3.9259","3.9488","3.8951","-0.02%"
"Jun 02, 2020","3.9262","3.9548","3.9673","3.9174","-0.72%"
"Jun 01, 2020","3.9546","4.0068","4.0071","3.9500","-1.28%"
"May 29, 2020","4.0060","4.0215","4.0273","3.9873","-0.38%"
"May 28, 2020","4.0211","4.0225","4.0395","4.0033","-0.08%"
"May 27, 2020","4.0242","4.0455","4.0588","4.0160","-0.50%"
"May 26, 2020","4.0443","4.1301","4.1352","4.0281","-2.08%"
"May 25, 2020","4.1301","4.1389","4.1550","4.1241","-0.24%"
"May 22, 2020","4.1400","4.1212","4.1537","4.1190","0.45%"
"May 21, 2020","4.1215","4.1302","4.1435","4.1077","-0.21%"
"May 20, 2020","4.1300","4.1648","4.1700","4.1190","-0.86%"
"May 19, 2020","4.1659","4.1802","4.1873","4.1468","-0.37%"
"May 18, 2020","4.1816","4.2231","4.2294","4.1761","-0.96%"
"May 15, 2020","4.2221","4.2203","4.2332","4.2055","0.05%"
"May 14, 2020","4.2200","4.2219","4.2427","4.2155","-0.03%"
"May 13, 2020","4.2213","4.2084","4.2270","4.1901","0.31%"
"May 12, 2020","4.2084","4.2176","4.2308","4.1828","-0.22%"
"May 11, 2020","4.2177","4.2003","4.2248","4.1872","0.46%"
"May 08, 2020","4.1982","4.2062","4.2142","4.1798","-0.19%"
"May 07, 2020","4.2062","4.2136","4.2365","4.2010","-0.17%"
"May 06, 2020","4.2134","4.1851","4.2222","4.1780","0.65%"
"May 05, 2020","4.1863","4.1711","4.2017","4.1582","0.37%"
"May 04, 2020","4.1708","4.1581","4.1886","4.1554","0.34%"
"May 01, 2020","4.1566","4.1522","4.1657","4.1371","0.10%"
"Apr 30, 2020","4.1522","4.1816","4.1934","4.1371","-0.68%"
"Apr 29, 2020","4.1807","4.2062","4.2074","4.1740","-0.58%"
"Apr 28, 2020","4.2049","4.1881","4.2070","4.1688","0.37%"
"Apr 27, 2020","4.1894","4.1899","4.1999","4.1617","-0.01%"
"Apr 24, 2020","4.1899","4.2142","4.2329","4.1828","-0.58%"
"Apr 23, 2020","4.2143","4.2025","4.2242","4.1874","0.28%"
"Apr 22, 2020","4.2024","4.1761","4.2175","4.1624","0.63%"
"Apr 21, 2020","4.1760","4.1637","4.1929","4.1583","0.29%"
"Apr 20, 2020","4.1638","4.1575","4.1781","4.1439","0.22%"
"Apr 17, 2020","4.1548","4.1935","4.1970","4.1481","-0.92%"
"Apr 16, 2020","4.1934","4.1582","4.2069","4.1539","0.83%"
"Apr 15, 2020","4.1589","4.1150","4.1848","4.1083","1.07%"
"Apr 14, 2020","4.1150","4.1796","4.1844","4.1105","-1.55%"
"Apr 13, 2020","4.1796","4.1625","4.2003","4.1515","0.39%"
"Apr 10, 2020","4.1635","4.1600","4.1696","4.1465","0.08%"
"Apr 09, 2020","4.1603","4.1736","4.1982","4.1492","-0.27%"
"Apr 08, 2020","4.1718","4.1564","4.1919","4.1494","0.33%"
"Apr 07, 2020","4.1581","4.2273","4.2329","4.1380","-1.58%"
"Apr 06, 2020","4.2249","4.2389","4.2513","4.1963","-0.43%"
"Apr 03, 2020","4.2432","4.2126","4.2529","4.2017","0.73%"
"Apr 02, 2020","4.2126","4.1993","4.2295","4.1778","0.32%"
"Apr 01, 2020","4.1992","4.1311","4.2148","4.1271","1.61%"
"Mar 31, 2020","4.1328","4.1090","4.1637","4.1075","0.58%"
"Mar 30, 2020","4.1089","4.0736","4.1430","4.0705","0.86%"
"Mar 27, 2020","4.0737","4.0938","4.1330","4.0654","-0.49%"
"Mar 26, 2020","4.0938","4.1953","4.2077","4.0788","-2.42%"
"Mar 25, 2020","4.1953","4.2673","4.2805","4.1771","-1.69%"
"Mar 24, 2020","4.2672","4.2969","4.3050","4.2189","-0.66%"
"Mar 23, 2020","4.2955","4.2425","4.3095","4.2211","1.21%"
"Mar 20, 2020","4.2441","4.2828","4.2978","4.1686","-0.91%"
"Mar 19, 2020","4.2828","4.1255","4.3011","4.0880","4.26%"
"Mar 18, 2020","4.1077","4.0557","4.2007","4.0412","1.03%"
"Mar 17, 2020","4.0658","3.9778","4.0890","3.9686","2.19%"
"Mar 16, 2020","3.9787","3.9418","3.9889","3.9037","0.97%"
"Mar 13, 2020","3.9405","3.9143","3.9627","3.8845","0.67%"
"Mar 12, 2020","3.9141","3.8369","3.9651","3.8190","1.95%"
"Mar 11, 2020","3.8394","3.8253","3.8457","3.7952","0.44%"
"Mar 10, 2020","3.8225","3.7782","3.8287","3.7707","1.17%"
"Mar 09, 2020","3.7782","3.8083","3.8083","3.7555","-0.79%"
