"Date","Price","Open","High","Low","Change %"
"Mar 05, 2014","6.1282","6.1433","6.1452","6.1199","-0.25%"
"Mar 04, 2014","6.1435","6.1466","6.1565","6.1422","-0.05%"
"Mar 03, 2014","6.1463","6.1444","6.1572","6.1440","0.02%"
"Feb 28, 2014","6.1450","6.1286","6.1721","6.1274","0.27%"
"Feb 27, 2014","6.1284","6.1258","6.1335","6.1216","0.06%"
"Feb 26, 2014","6.1248","6.1321","6.1336","6.1224","0.00%"
"Feb 25, 2014","6.1245","6.1220","6.1292","6.1082","0.43%"
"Feb 24, 2014","6.0984","6.0912","6.0984","6.0912","0.11%"
"Feb 21, 2014","6.0915","6.0918","6.0930","6.0870","0.13%"
"Feb 20, 2014","6.0835","6.0829","6.0846","6.0806","0.12%"
"Feb 19, 2014","6.0764","6.0672","6.0766","6.0664","0.15%"
"Feb 18, 2014","6.0673","6.0644","6.0676","6.0628","0.05%"
"Feb 17, 2014","6.0640","6.0664","6.0664","6.0605","-0.05%"
"Feb 14, 2014","6.0669","6.0618","6.0672","6.0604","0.05%"
"Feb 13, 2014","6.0636","6.0663","6.0666","6.0635","0.02%"
"Feb 12, 2014","6.0624","6.0600","6.0642","6.0600","0.03%"
"Feb 11, 2014","6.0606","6.0599","6.0623","6.0577","0.02%"
"Feb 10, 2014","6.0594","6.0602","6.0613","6.0590","-0.07%"
"Feb 07, 2014","6.0634","6.0627","6.0646","6.0606","0.04%"
"Feb 06, 2014","6.0610","6.0610","6.0610","6.0610","0.00%"
"Feb 05, 2014","6.0610","6.0610","6.0610","6.0610","0.00%"
"Feb 04, 2014","6.0610","6.0610","6.0610","6.0610","0.00%"
"Feb 03, 2014","6.0610","6.0610","6.0610","6.0610","0.00%"
"Jan 31, 2014","6.0610","6.0610","6.0610","6.0610","0.00%"
"Jan 30, 2014","6.0610","6.0550","6.0610","6.0542","0.09%"
"Jan 29, 2014","6.0556","6.0514","6.0562","6.0506","0.08%"
"Jan 28, 2014","6.0509","6.0482","6.0516","6.0482","0.05%"
"Jan 27, 2014","6.0480","6.0467","6.0492","6.0457","-0.01%"
"Jan 24, 2014","6.0488","6.0497","6.0502","6.0455","-0.05%"
"Jan 23, 2014","6.0518","6.0533","6.0536","6.0508","0.01%"
"Jan 22, 2014","6.0513","6.0521","6.0526","6.0493","0.01%"
"Jan 21, 2014","6.0505","6.0518","6.0524","6.0487","-0.04%"
"Jan 20, 2014","6.0527","6.0521","6.0540","6.0498","0.04%"
"Jan 17, 2014","6.0503","6.0551","6.0551","6.0486","-0.09%"
"Jan 16, 2014","6.0557","6.0512","6.0563","6.0503","0.16%"
"Jan 15, 2014","6.0460","6.0408","6.0474","6.0408","0.08%"
"Jan 14, 2014","6.0412","6.0434","6.0438","6.0405","-0.03%"
"Jan 13, 2014","6.0433","6.0456","6.0472","6.0416","-0.15%"
"Jan 10, 2014","6.0521","6.0554","6.0554","6.0505","-0.05%"
"Jan 09, 2014","6.0550","6.0522","6.0564","6.0522","0.06%"
"Jan 08, 2014","6.0512","6.0518","6.0522","6.0502","0.00%"
"Jan 07, 2014","6.0512","6.0522","6.0535","6.0510","-0.02%"
"Jan 06, 2014","6.0526","6.0522","6.0554","6.0511","0.02%"
"Jan 03, 2014","6.0515","6.0524","6.0532","6.0512","0.01%"
"Jan 02, 2014","6.0507","6.0513","6.0526","6.0499","-0.05%"
"Jan 01, 2014","6.0540","6.0540","6.0540","6.0540","0.00%"
"Dec 31, 2013","6.0540","6.0619","6.0619","6.0498","-0.13%"
"Dec 30, 2013","6.0617","6.0686","6.0686","6.0602","-0.11%"
"Dec 27, 2013","6.0686","6.0693","6.0711","6.0675","-0.10%"
"Dec 26, 2013","6.0747","6.0718","6.0751","6.0713","0.05%"
"Dec 25, 2013","6.0715","6.0716","6.0718","6.0702","0.00%"
"Dec 24, 2013","6.0715","6.0710","6.0722","6.0701","0.02%"
"Dec 23, 2013","6.0702","6.0714","6.0719","6.0702","-0.02%"
"Dec 20, 2013","6.0714","6.0714","6.0724","6.0709","0.00%"
"Dec 19, 2013","6.0713","6.0716","6.0746","6.0702","-0.01%"
"Dec 18, 2013","6.0718","6.0714","6.0726","6.0709","0.01%"
"Dec 17, 2013","6.0711","6.0710","6.0720","6.0702","-0.01%"
"Dec 16, 2013","6.0715","6.0709","6.0731","6.0706","0.00%"
"Dec 13, 2013","6.0713","6.0712","6.0741","6.0703","-0.00%"
"Dec 12, 2013","6.0715","6.0719","6.0778","6.0705","-0.00%"
"Dec 11, 2013","6.0717","6.0714","6.0724","6.0704","0.01%"
"Dec 10, 2013","6.0710","6.0718","6.0729","6.0704","-0.02%"
"Dec 09, 2013","6.0723","6.0750","6.0750","6.0717","-0.15%"
"Dec 06, 2013","6.0817","6.0865","6.0871","6.0817","-0.16%"
"Dec 05, 2013","6.0913","6.0925","6.0928","6.0911","-0.00%"
"Dec 04, 2013","6.0916","6.0925","6.0925","6.0906","-0.01%"
"Dec 03, 2013","6.0924","6.0935","6.0941","6.0921","-0.01%"
"Dec 02, 2013","6.0930","6.0926","6.0937","6.0915","-0.00%"
"Nov 29, 2013","6.0932","6.0931","6.0955","6.0919","0.01%"
"Nov 28, 2013","6.0924","6.0927","6.0931","6.0922","0.00%"
"Nov 27, 2013","6.0924","6.0926","6.0930","6.0912","-0.00%"
"Nov 26, 2013","6.0927","6.0926","6.0930","6.0913","0.00%"
"Nov 25, 2013","6.0926","6.0930","6.0938","6.0920","-0.02%"
"Nov 22, 2013","6.0937","6.0928","6.0938","6.0915","0.01%"
"Nov 21, 2013","6.0929","6.0923","6.0940","6.0915","0.00%"
"Nov 20, 2013","6.0928","6.0926","6.0935","6.0900","-0.00%"
"Nov 19, 2013","6.0930","6.0923","6.0934","6.0910","0.01%"
"Nov 18, 2013","6.0921","6.0922","6.0929","6.0905","-0.00%"
"Nov 15, 2013","6.0922","6.0930","6.0930","6.0902","0.00%"
"Nov 14, 2013","6.0922","6.0910","6.0929","6.0902","-0.01%"
"Nov 13, 2013","6.0929","6.0921","6.0929","6.0870","0.01%"
"Nov 12, 2013","6.0920","6.0915","6.0937","6.0902","0.01%"
"Nov 11, 2013","6.0914","6.0906","6.0922","6.0892","0.01%"
"Nov 08, 2013","6.0906","6.0908","6.0932","6.0872","-0.00%"
