"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 04, 2020","9,615.81","9,649.65","9,716.14","9,560.41","1.29B","-0.69%"
"Jun 03, 2020","9,682.91","9,651.86","9,707.78","9,627.17","1.01B","0.78%"
"Jun 02, 2020","9,608.38","9,566.53","9,611.22","9,472.08","908.58M","0.59%"
"Jun 01, 2020","9,552.05","9,471.42","9,571.28","9,462.32","878.99M","0.66%"
"May 29, 2020","9,489.87","9,382.35","9,505.55","9,324.73","1.45B","1.29%"
"May 28, 2020","9,368.99","9,392.99","9,523.64","9,345.28","877.39M","-0.46%"
"May 27, 2020","9,412.36","9,346.12","9,414.62","9,144.28","951.52M","0.77%"
"May 26, 2020","9,340.22","9,501.21","9,501.21","9,333.16","967.90M","0.17%"
"May 22, 2020","9,324.59","9,278.55","9,328.28","9,239.41","746.03M","0.43%"
"May 21, 2020","9,284.88","9,375.19","9,405.25","9,254.85","785.34M","-0.97%"
"May 20, 2020","9,375.78","9,305.62","9,392.82","9,304.20","938.19M","2.08%"
"May 19, 2020","9,185.10","9,227.46","9,317.25","9,183.25","869.45M","-0.54%"
"May 18, 2020","9,234.83","9,177.15","9,267.22","9,154.35","968.79M","2.44%"
"May 15, 2020","9,014.56","8,839.99","9,018.40","8,821.38","1.03B","0.79%"
"May 14, 2020","8,943.72","8,788.04","8,945.71","8,705.25","883.25M","0.91%"
"May 13, 2020","8,863.17","9,006.05","9,074.16","8,752.68","952.96M","-1.55%"
"May 12, 2020","9,002.55","9,225.15","9,250.96","9,000.07","922.43M","-2.06%"
"May 11, 2020","9,192.34","9,054.91","9,241.92","9,053.17","878.43M","0.78%"
"May 08, 2020","9,121.32","9,056.89","9,125.98","9,018.21","824.61M","1.58%"
"May 07, 2020","8,979.66","8,973.78","9,015.99","8,932.85","831.29M","1.41%"
"May 06, 2020","8,854.39","8,874.70","8,933.25","8,819.37","782.81M","0.51%"
"May 05, 2020","8,809.12","8,809.66","8,909.96","8,781.31","834.18M","1.13%"
"May 04, 2020","8,710.72","8,555.32","8,715.82","8,537.83","806.28M","1.23%"
"May 01, 2020","8,604.95","8,681.29","8,754.46","8,566.84","868.79M","-3.20%"
"Apr 30, 2020","8,889.55","8,911.01","8,926.11","8,825.83","1.13B","-0.28%"
"Apr 29, 2020","8,914.71","8,802.70","8,957.26","8,765.01","1.03B","3.57%"
"Apr 28, 2020","8,607.73","8,825.68","8,830.57","8,600.70","846.78M","-1.40%"
"Apr 27, 2020","8,730.16","8,717.98","8,754.57","8,697.37","807.92M","1.11%"
"Apr 24, 2020","8,634.52","8,530.08","8,642.93","8,464.42","797.88M","1.65%"
"Apr 23, 2020","8,494.75","8,528.84","8,635.23","8,475.20","854.52M","-0.01%"
"Apr 22, 2020","8,495.38","8,434.55","8,537.31","8,404.54","733.43M","2.81%"
"Apr 21, 2020","8,263.23","8,460.69","8,480.29","8,215.69","881.56M","-3.48%"
