"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 19, 2012","31.045","31.710","31.725","30.980","0.36K","-1.74%"
"Dec 18, 2012","31.595","32.430","32.460","31.350","0.19K","-1.90%"
"Dec 17, 2012","32.206","32.290","32.335","32.105","0.07K","-0.52%"
"Dec 16, 2012","32.375","32.430","32.470","32.362","-","0.47%"
"Dec 14, 2012","32.223","32.490","32.630","32.275","0.32K","-0.18%"
"Dec 13, 2012","32.280","33.360","33.360","32.255","0.88K","-4.23%"
"Dec 12, 2012","33.707","32.990","33.700","32.990","0.57K","2.33%"
"Dec 11, 2012","32.941","33.070","33.190","32.775","0.44K","-1.08%"
"Dec 10, 2012","33.300","33.140","33.400","33.140","0.09K","0.44%"
"Dec 09, 2012","33.155","33.140","33.203","33.118","-","0.31%"
"Dec 07, 2012","33.053","33.050","33.220","32.645","0.13K","0.04%"
"Dec 06, 2012","33.039","32.750","33.150","32.545","0.23K","0.47%"
"Dec 05, 2012","32.883","32.930","33.165","32.530","0.44K","0.46%"
"Dec 04, 2012","32.734","33.400","33.480","32.720","0.44K","-2.81%"
"Dec 03, 2012","33.681","33.500","33.850","33.410","0.45K","0.62%"
"Dec 02, 2012","33.475","33.475","33.475","33.475","-","0.82%"
"Nov 30, 2012","33.204","34.230","34.345","33.140","1.46K","-3.33%"
"Nov 29, 2012","34.348","33.750","34.395","33.535","16.17K","1.98%"
"Nov 28, 2012","33.681","33.560","33.560","33.525","0.00K","-0.89%"
"Nov 27, 2012","33.982","34.100","34.100","34.050","0.00K","-0.46%"
"Nov 26, 2012","34.138","34.005","34.005","34.005","0.01K","0.11%"
"Nov 25, 2012","34.100","34.170","34.185","34.085","-","-0.03%"
"Nov 23, 2012","34.111","33.335","33.385","33.320","0.00K","2.31%"
"Nov 22, 2012","33.340","33.385","33.442","33.270","-","-0.01%"
"Nov 21, 2012","33.344","33.344","33.344","33.344","-","1.28%"
"Nov 20, 2012","32.923","32.923","32.923","32.990","0.00K","-0.78%"
"Nov 19, 2012","33.181","33.181","33.181","33.181","0.00K","2.39%"
"Nov 18, 2012","32.405","32.300","32.423","32.300","-","0.14%"
"Nov 16, 2012","32.361","32.361","32.361","32.361","-","-0.93%"
"Nov 15, 2012","32.665","32.665","32.665","32.600","0.01K","-0.63%"
"Nov 14, 2012","32.871","32.640","32.865","32.640","0.01K","1.21%"
"Nov 13, 2012","32.478","32.215","32.570","32.195","0.01K","-0.11%"
"Nov 12, 2012","32.513","32.513","32.513","32.513","0.00K","-0.51%"
"Nov 11, 2012","32.680","32.633","32.745","32.578","-","0.28%"
"Nov 09, 2012","32.590","32.275","32.665","32.095","0.01K","1.11%"
"Nov 08, 2012","32.231","31.810","32.350","31.810","0.02K","1.83%"
"Nov 07, 2012","31.651","31.955","32.155","31.570","0.03K","-1.15%"
