"date","open","high","low","value","volume","date_fmt","interval"
"2020-08-19","1.1655312150000001","1.178622745","1.07581573","1.116245455","304305901.128371","2020-08-19","histoday"
"2020-08-20","1.116245455","1.134727615","1.096223115","1.1258715799999999","249573294.28883952","2020-08-20","histoday"
"2020-08-21","1.1258715799999999","1.139348155","1.070810145","1.07504564","320634119.2058485","2020-08-21","histoday"
"2020-08-22","1.07504564","1.103924015","1.0527130299999998","1.1019987900000001","250965454.6738675","2020-08-22","histoday"
"2020-08-23","1.1019987900000001","1.1089296","1.068499875","1.096993205","165943726.05762652","2020-08-23","histoday"
"2020-08-24","1.096993205","1.1243314","1.087752125","1.111624915","180692133.147452","2020-08-24","histoday"
"2020-08-25","1.111624915","1.11509032","1.0411616799999999","1.065419515","198565751.4340125","2020-08-25","histoday"
"2020-08-26","1.065419515","1.081591405","1.0561784349999999","1.064649425","145715942.6795705","2020-08-26","histoday"
"2020-08-27","1.064649425","1.0723503250000002","0.982249795","1.01882907","209607338.240765","2020-08-27","histoday"
"2020-08-28","1.01882907","1.0527130299999998","1.0018870899999999","1.0469373549999998","161526205.461894","2020-08-28","histoday"
"2020-08-29","1.0469373549999998","1.066959695","1.0357710500000001","1.055408345","102563334.49719201","2020-08-29","histoday"
"2020-08-30","1.055408345","1.093142755","1.0550233","1.0900623950000001","153155047.11866552","2020-08-30","histoday"
"2020-08-31","1.0900623950000001","1.0954530249999999","1.07196528","1.0835166299999999","187120090.54934198","2020-08-31","histoday"
"2020-09-01","1.0835166299999999","1.15128455","1.063879335","1.1378079749999999","236163315.093355","2020-09-01","histoday"
"2020-09-02","1.1378079749999999","1.170151755","1.026915015","1.06349429","281029767.542282","2020-09-02","histoday"
"2020-09-03","1.06349429","1.065419515","0.925263135","0.942975205","261454430.67229497","2020-09-03","histoday"
"2020-09-04","0.942975205","1.0230645649999999","0.92949863","0.979939525","171558861.58896598","2020-09-04","histoday"
"2020-09-05","0.979939525","0.999191775","0.89176422","0.9144818749999999","191168455.6430715","2020-09-05","histoday"
"2020-09-06","0.9144818749999999","0.947595745","0.885988545","0.923722955","142208029.520165","2020-09-06","histoday"
"2020-09-07","0.923722955","0.935274305","0.885988545","0.93257899","121172727.22681199","2020-09-07","histoday"
"2020-09-08","0.93257899","0.938354665","0.890609085","0.91101647","131684020.24091698","2020-09-08","histoday"
"2020-09-09","0.91101647","0.93565935","0.8979249399999999","0.9210276399999999","112161683.0824775","2020-09-09","histoday"
"2020-09-10","0.9210276399999999","0.95799196","0.920642595","0.93642944","132610585.983152","2020-09-10","histoday"
"2020-09-11","0.93642944","0.94182007","0.91255665","0.934504215","95091276.674853","2020-09-11","histoday"
"2020-09-12","0.934504215","0.957606915","0.925263135","0.95337142","68386927.15953049","2020-09-12","histoday"
"2020-09-13","0.95337142","0.97570403","0.916022055","0.93257899","97795361.767809","2020-09-13","histoday"
"2020-09-14","0.93257899","0.959147095","0.9214126850000001","0.946055565","101457932.9490135","2020-09-14","histoday"
"2020-09-15","0.946055565","0.95953214","0.93334908","0.936814485","111021908.33612199","2020-09-15","histoday"
"2020-09-16","0.936814485","0.966847995","0.90331557","0.95029106","132774748.91778499","2020-09-16","histoday"
